id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,polarity,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,host_is_superhost
3075044,36,94.0,10.0,9.0,10.0,10.0,9.0,9.0,Roslindale,0.9149529411764706,65.00,95.00,10.00,0,0.00,2,15,False
6976,41,98.0,10.0,9.0,10.0,10.0,9.0,10.0,Roslindale,0.9053487804878048,65.00,0,0,1,20.00,3,45,True
1436513,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9506,75.00,100.00,50.00,2,25.00,1,1125,False
7651065,29,99.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.891326923076923,79.00,0,15.00,1,0.00,2,31,True
12386020,8,100.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.9591166666666667,75.00,0,30.00,1,0.00,2,1125,True
5706985,57,90.0,10.0,10.0,10.0,10.0,9.0,9.0,Roslindale,0.8102999999999998,100.00,0,0,1,25.00,1,1125,False
2843445,67,96.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.957840909090909,75.00,0,10.00,1,15.00,1,1125,True
753446,65,96.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.8814517241379309,58.00,0,0,2,0.00,2,1125,True
849408,33,94.0,10.0,9.0,10.0,10.0,9.0,9.0,Roslindale,0.9169575757575754,229.00,200.00,50.00,4,25.00,4,10,True
12023024,1,80.0,10.0,8.0,8.0,10.0,10.0,10.0,Roslindale,0.9633,60.00,0,30.00,1,10.00,1,1125,False
1668313,17,94.0,9.0,10.0,10.0,10.0,9.0,9.0,Roslindale,0.9082058823529412,57.00,0,40.00,1,0.00,1,1125,True
2684840,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9749,93.00,0,40.00,1,0.00,1,1125,False
13547301,12,97.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.934988888888889,150.00,0,50.00,5,30.00,2,21,False
5434353,7,91.0,9.0,9.0,10.0,9.0,9.0,9.0,Roslindale,0.9104428571428571,145.00,500.00,150.00,2,35.00,3,1125,False
225979,70,96.0,9.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.9262411764705886,60.00,0,0,1,0.00,1,365,False
3420384,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.7964,165.00,0,50.00,3,15.00,3,1125,False
13512930,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9564,75.00,0,20.00,1,15.00,1,1125,False
7252607,4,95.0,9.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.7106999999999999,49.00,0,0,1,10.00,5,1125,True
2583074,31,99.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.8904700000000002,40.00,0,0,1,0.00,2,1125,True
13251243,16,98.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9653399999999998,120.00,150.00,50.00,3,0.00,2,6,False
225834,38,98.0,9.0,10.0,10.0,10.0,9.0,9.0,Roslindale,0.932165714285714,70.00,0,0,1,10.00,1,365,False
6400432,21,88.0,9.0,9.0,9.0,10.0,9.0,10.0,Roslindale,0.8305157894736842,150.00,150.00,100.00,6,0.00,3,1125,False
894539,40,96.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.925820512820513,95.00,0,10.00,1,0.00,1,1125,True
879929,43,95.0,10.0,9.0,10.0,10.0,9.0,9.0,Roslindale,0.951639024390244,90.00,0,0,1,0.00,1,1125,False
9218312,33,99.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9507133333333333,95.00,0,15.00,1,0.00,2,1125,True
321328,11,90.0,9.0,8.0,10.0,9.0,9.0,9.0,Roslindale,0.9420454545454544,100.00,0,0,1,100.00,1,30,False
1810172,20,96.0,10.0,9.0,10.0,10.0,9.0,10.0,Roslindale,0.9361105263157895,67.00,0,40.00,1,5.00,1,1125,True
6513924,30,92.0,10.0,9.0,10.0,10.0,9.0,9.0,Roslindale,0.8435750000000001,55.00,0,0,1,0.00,1,4,False
7093109,2,100.0,10.0,10.0,10.0,10.0,9.0,10.0,Roslindale,0.86775,200.00,200.00,85.00,4,20.00,2,1125,False
7086825,10,98.0,9.0,9.0,10.0,10.0,9.0,10.0,Roslindale,0.7602,49.00,0,0,1,10.00,5,1125,True
1861070,17,96.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9575687500000001,75.00,0,0,1,0.00,1,1125,False
4283698,55,87.0,9.0,9.0,10.0,10.0,9.0,9.0,Roslindale,0.8479117647058825,110.00,0,25.00,2,20.00,3,1125,False
8548176,24,91.0,10.0,10.0,10.0,10.0,9.0,9.0,Roslindale,0.8763541666666668,125.00,250.00,50.00,1,25.00,1,1125,False
4922204,82,95.0,10.0,10.0,10.0,10.0,10.0,9.0,Roslindale,0.8592929577464791,200.00,250.00,50.00,1,25.00,1,1125,False
4085362,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.8879333333333332,75.00,0,10.00,1,15.00,1,1125,True
3755609,21,95.0,9.0,9.0,10.0,10.0,9.0,9.0,Roslindale,0.8563285714285714,78.00,500.00,25.00,1,0.00,3,1125,False
13768853,10,96.0,10.0,10.0,10.0,10.0,10.0,10.0,Roslindale,0.9091625000000001,50.00,0,10.00,1,0.00,2,15,False
